E_1,E_1_log
-20.32,4.68794761244566
-20.21,4.688959711717774
-17.26,4.715727176552735
-18.38,4.70564880455431
-16.38,4.7235752503667126
-16.73,4.720461230322826
-9.07,4.786491242448462
-18.68,4.702931903770587
-7.74,4.79752457848242
-19.85,4.692264892839025
-17.14,4.716801002159277
-14.14,4.743278588105721
-17.29,4.715458539882214
-17.13,4.716890435598499
-14.88,4.736812295039806
-16.72,4.720550337028165
-20.46,4.686658002834359
-15.17,4.734266759322502
-15.46,4.731714727313047
-17.43,4.714203947012214
-14.74,4.738038859062516
-18.59,4.703747749349085
-16.69,4.720817609514053
-19.58,4.694736629347134
-16.07,4.726325307544559
-18.8,4.7018430732483525
-28.95,4.605170185988091
-10.81,4.771870361879089
-19.48,4.695650539116466
-14.45,4.740574822994295
-20.04,4.690521853087595
-10.58,4.773815311965802
-14.55,4.739701078945697
-14.08,4.743801054157313
-15.68,4.729774349212622
-13.51,4.7487509144656155
-17.63,4.71240893665769
-20.35,4.687671407499835
-18.38,4.70564880455431
-19.91,4.691714787388277
-17.45,4.7140245909001735
-18.12,4.707997495787562
-14.35,4.741447804280639
-17.97,4.709350004897755
-13.3,4.750568388677448
-12.74,4.755398899234782
-18.11,4.7080877199947775
-12.9,4.754021132720446
-16.85,4.719391330078114
-16.15,4.725616339063959
-18.9,4.70093480797247
-14.4,4.741011408899505
-16.99,4.718141664647253
-16.32,4.724108110059605
-14.78,4.737688565688235
-21.12,4.680555912893981
-19.36,4.696746129475301
-18.37,4.705739240909787
-20.05,4.690430029938915
