Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
LogisticRegression,Without seedEbest_1,0.5562091503267974,0.09377205978803113,0.5358308358308358,0.07746738701638323,0.6722222222222223,0.19495963494851762,0.5909774436090225,0.1230283923601594,"[0.06340091 0.01911847 0.08831154 0.15234016 0.19393719 0.15245613
 0.04024977 0.02970392 0.0370074  0.06910111 0.0740995  0.04066798]"
RandomForest,Without seedEbest_1,0.5352941176470588,0.059988464865797474,0.5507936507936508,0.07505771693674214,0.4444444444444445,0.060858061945018464,0.4884033613445379,0.05530765332015798,"[[0.0235045  0.0235045 ]
 [0.04462827 0.04462827]
 [0.02025691 0.02025691]
 [0.04811527 0.04811527]
 [0.04288683 0.04288683]
 [0.03510478 0.03510478]
 [0.00847856 0.00847856]
 [0.00569609 0.00569609]
 [0.03680838 0.03680838]
 [0.04871572 0.04871572]
 [0.05109457 0.05109457]
 [0.01308493 0.01308493]]"
GradientBoosting,Without seedEbest_1,0.5934640522875817,0.10932044197152982,0.6056721056721056,0.12712108858132928,0.6527777777777777,0.16244657241348276,0.6126675663517769,0.09674925042153489,"[0.18665667 0.32474245 0.39731823 0.96880489 0.72018099 0.60228008
 0.04723823 0.09264539 0.73122581 0.80106416 0.69447051 0.2361567 ]"
SVM,Without seedEbest_1,0.696078431372549,0.1430163335592978,0.6958730158730159,0.1522936257710457,0.7194444444444443,0.14603821586772128,0.7035603715170279,0.13798640396074743,"[0.05177992 0.02097275 0.04412991 0.12295528 0.12558687 0.09076064
 0.038023   0.02870633 0.06333211 0.05651246 0.12808126 0.05800372]"
LogisticRegression,Without E_3,0.5568627450980392,0.11270672833882286,0.5354978354978355,0.11293309489567305,0.5805555555555555,0.22539403083445325,0.5497744360902255,0.16144200104529619,"[0.08142299 0.01513521 0.11329077 0.15000314 0.19297291 0.04110011
 0.11846565 0.0304831  0.04702339 0.0566286  0.06694933 0.03759548]"
RandomForest,Without E_3,0.5954248366013072,0.1426634351866153,0.6361111111111111,0.21523745142011685,0.49444444444444446,0.1512805422687789,0.5499572649572648,0.16387406188850134,"[[0.02023325 0.02023325]
 [0.04123745 0.04123745]
 [0.02468804 0.02468804]
 [0.05401424 0.05401424]
 [0.03806523 0.03806523]
 [0.03034313 0.03034313]
 [0.01011048 0.01011048]
 [0.00481824 0.00481824]
 [0.04070666 0.04070666]
 [0.04406087 0.04406087]
 [0.04592945 0.04592945]
 [0.01425738 0.01425738]]"
GradientBoosting,Without E_3,0.6176470588235295,0.07892004626469848,0.6440909090909092,0.11522166922003535,0.6277777777777777,0.08888888888888886,0.6225019562480864,0.04662195541147216,"[0.23504293 0.38222058 0.39035364 0.87101268 0.62712831 0.46887018
 0.14872807 0.07065315 0.7384336  0.69581435 0.60497839 0.21096672]"
SVM,Without E_3,0.6967320261437908,0.11578777719099892,0.6905555555555556,0.13132280461650855,0.7444444444444444,0.08897565210026093,0.7132438940488477,0.10200677950923163,"[0.05078872 0.02260555 0.04744434 0.1406525  0.11147403 0.0391548
 0.0488179  0.03259219 0.07702866 0.05285322 0.11058743 0.04916495]"
LogisticRegression,Without seedNumber_3,0.6032679738562091,0.07376071100478893,0.594993894993895,0.08141579010004832,0.675,0.17023948273382844,0.6218253968253968,0.0904169953945907,"[0.08217426 0.01989348 0.08474507 0.14806144 0.18907555 0.03093521
 0.16626235 0.03047398 0.03637597 0.06891839 0.07937666 0.04086295]"
RandomForest,Without seedNumber_3,0.5816993464052287,0.11837104755735184,0.6376623376623376,0.20412345666897144,0.5361111111111112,0.11640181577642757,0.5644444444444444,0.10133979024262754,"[[0.01929278 0.01929278]
 [0.04203074 0.04203074]
 [0.02242039 0.02242039]
 [0.05876975 0.05876975]
 [0.03491603 0.03491603]
 [0.02542024 0.02542024]
 [0.03177628 0.03177628]
 [0.00542084 0.00542084]
 [0.03516015 0.03516015]
 [0.04444247 0.04444247]
 [0.04414202 0.04414202]
 [0.01191421 0.01191421]]"
GradientBoosting,Without seedNumber_3,0.54640522875817,0.10113626736671741,0.5656721056721057,0.12252974992168483,0.586111111111111,0.16583123951777,0.5594167923579688,0.08647668221073712,"[0.12927372 0.32532294 0.3988501  0.81532033 0.62071051 0.45046814
 0.55435727 0.0566411  0.75004844 0.78468047 0.52907051 0.19253569]"
SVM,Without seedNumber_3,0.6614379084967321,0.11658196152420025,0.6787301587301589,0.14421785821236585,0.6472222222222221,0.08940820521906155,0.6593223254213966,0.10834973558825803,"[0.04747085 0.02209249 0.0433404  0.12412895 0.11623965 0.03857472
 0.08445264 0.0306959  0.06282347 0.05632545 0.12377717 0.05966356]"
LogisticRegression,Without E_diff_12,0.5915032679738562,0.109015219108854,0.584047619047619,0.10313564588078733,0.6027777777777776,0.14740554623801774,0.5914551083591332,0.12258835977108672,"[0.06421543 0.01284937 0.10680178 0.14665428 0.22228584 0.03282612
 0.13206464 0.03386613 0.02912475 0.08845717 0.08947039 0.0430275 ]"
RandomForest,Without E_diff_12,0.5241830065359477,0.07912546902181208,0.5281385281385281,0.07872363109965132,0.4722222222222222,0.15315609724544693,0.48971915081822204,0.09836323785899903,"[[0.02214119 0.02214119]
 [0.03950043 0.03950043]
 [0.02296893 0.02296893]
 [0.0429486  0.0429486 ]
 [0.03693855 0.03693855]
 [0.02755003 0.02755003]
 [0.03640152 0.03640152]
 [0.00630384 0.00630384]
 [0.03462457 0.03462457]
 [0.04703251 0.04703251]
 [0.04471475 0.04471475]
 [0.01040106 0.01040106]]"
GradientBoosting,Without E_diff_12,0.54640522875817,0.10113626736671741,0.5656721056721057,0.12252974992168483,0.586111111111111,0.16583123951777,0.5594167923579688,0.08647668221073712,"[0.14431297 0.34137854 0.39409618 0.84475456 0.65126505 0.40681061
 0.52957463 0.04129723 0.7127203  0.79572174 0.57257544 0.18792406]"
SVM,Without E_diff_12,0.6973856209150326,0.12608790119516333,0.7580952380952382,0.18198701705456144,0.6277777777777778,0.08888888888888888,0.681077694235589,0.11932825384470813,"[0.03929756 0.02389024 0.04439209 0.12306059 0.13487043 0.04035087
 0.0735698  0.03447673 0.07361764 0.0675497  0.12350405 0.05548945]"
LogisticRegression,Without pumin1_4u,0.5915032679738562,0.12663556819590438,0.5701298701298702,0.13818680892375085,0.625,0.23765832929119374,0.5871553884711779,0.1725942447236449,"[0.07153798 0.01606737 0.09635346 0.15984207 0.1963146  0.03227459
 0.15295762 0.03561574 0.03040065 0.07120278 0.07628719 0.03733778]"
RandomForest,Without pumin1_4u,0.6176470588235294,0.15563243006262295,0.6548051948051948,0.21323457263091009,0.5833333333333333,0.20487876571761973,0.59718782249742,0.16210459336049424,"[[0.02254517 0.02254517]
 [0.04101426 0.04101426]
 [0.02336472 0.02336472]
 [0.05268472 0.05268472]
 [0.04580767 0.04580767]
 [0.02629026 0.02629026]
 [0.03739393 0.03739393]
 [0.00656762 0.00656762]
 [0.00599169 0.00599169]
 [0.05261352 0.05261352]
 [0.04834974 0.04834974]
 [0.01452943 0.01452943]]"
