Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
GradientBoosting,Without Pu1_1,0.1438767696230745,0.506257889408957,0.9864907135836554,0.6636294060021981,0.4379152689462872,0.5790868987139658,0.04915603345262131,0.06573783855103568,0.7444571501581623,0.8949799016840497,0.6513284321055184,0.2468837572486166,
SVM,Without Pu1_1,0.04644461533965112,0.043901285498312466,0.14290702336062472,0.10498648026138169,0.03856333114967014,0.07194350377839001,0.03159881461173394,0.02883976842977986,0.07159930663485434,0.06398394124193323,0.11786390307644139,0.04714890061773111,
LogisticRegression,Without Pu2_1,0.10444673619787288,0.01832985521213459,0.11266888365701291,0.2314624215853185,0.040913014797541766,0.14076238626961077,0.03434698664270339,0.030729195239504837,0.0657580395097776,0.08255029938325932,0.07845391493571355,0.033832490328174945,
RandomForest,Without Pu2_1,[0.02483597 0.02483597],[0.04045601 0.04045601],[0.04490994 0.04490994],[0.03873183 0.03873183],[0.02868051 0.02868051],[0.03740558 0.03740558],[0.01031504 0.01031504],[0.00450356 0.00450356],[0.03930721 0.03930721],[0.04303496 0.04303496],[0.05088942 0.05088942],[0.01322131 0.01322131],
GradientBoosting,Without Pu2_1,0.18900995913743643,0.38008382473768887,0.7406858446396895,0.6213301845185714,0.48683674059558635,0.5946807523810655,0.08479800220739112,0.06599527939071864,0.7199192392184306,0.7543576008426469,0.6724168059399476,0.19310887116888736,
SVM,Without Pu2_1,0.047396641365674216,0.020166143096519856,0.12896950778326502,0.1224589905171964,0.04146490762827893,0.07632876610675618,0.037278580199439325,0.02721758954609698,0.0708320331863536,0.06563988006708106,0.12038512910544459,0.054818815921057217,
LogisticRegression,Without E_hybrid_1,0.08635772633374098,0.028256378331159977,0.07086617448553159,0.22563698351331118,0.03313586161808203,0.1566264777733617,0.028260588882871168,0.028622708579570572,0.036342590829661,0.09917670070953813,0.1037468970228927,0.035047182055636374,
RandomForest,Without E_hybrid_1,[0.01953474 0.01953474],[0.05027059 0.05027059],[0.02131543 0.02131543],[0.04253159 0.04253159],[0.02856254 0.02856254],[0.04189077 0.04189077],[0.00891054 0.00891054],[0.00420603 0.00420603],[0.04292983 0.04292983],[0.04795264 0.04795264],[0.04666605 0.04666605],[0.0124634 0.0124634],
GradientBoosting,Without E_hybrid_1,0.23701035057585723,0.6492203217446604,0.3852067447373931,0.5207697496401152,0.5626973748051847,0.670352975197909,0.039886046309819914,0.025054228186356896,0.7014830010422688,0.7131114239330383,0.6192483560006717,0.18562108877410563,
SVM,Without E_hybrid_1,0.07094769676811882,0.031473359664800776,0.04361332875852362,0.13583999772892769,0.04466263879361044,0.10600358061694762,0.039590743476681,0.023338140919046277,0.0717215665596892,0.07646201219154994,0.14573603633919158,0.06610560777740206,
LogisticRegression,Without seedNumber_1,0.12243522359154949,0.023940366559640183,0.09161646391665358,0.19255626787220334,0.035892943484956696,0.14997594532231306,0.0352892421546822,0.03622118460617698,0.04454128677512461,0.08662729293305012,0.10934421623324594,0.03534854283082153,
RandomForest,Without seedNumber_1,[0.02386204 0.02386204],[0.04045872 0.04045872],[0.02258376 0.02258376],[0.04809955 0.04809955],[0.02519534 0.02519534],[0.03340152 0.03340152],[0.0081171 0.0081171],[0.00656404 0.00656404],[0.03924502 0.03924502],[0.04759493 0.04759493],[0.0504558 0.0504558],[0.01461456 0.01461456],
GradientBoosting,Without seedNumber_1,0.17254372640278573,0.4473285773422006,0.3852485887603644,0.5753565978429762,0.4902116040166623,0.5219038298017493,0.0431305731000558,0.05258044954470796,0.763384906438313,0.7846473180985207,0.55639194912139,0.23590315329459802,
SVM,Without seedNumber_1,0.04201360665697941,0.019631091570183105,0.038257483939976675,0.15107178730222084,0.060781645473080535,0.07661016314091815,0.031975417112459124,0.03642860217091272,0.08094911521762901,0.056046729412920424,0.13391832412555044,0.04561869368966896,
