Pu2_1,Pu2_1_log
1.35913e-08,-18.11383595478587
0.000108921,-9.12488770915055
1.09891e-07,-16.023776871519882
0.0105256,-4.553944893912646
1.04429e-07,-16.0747584222932
0.000129095,-8.954961990528615
0.00918773,-4.689886380742922
3.60938e-05,-10.22938945252768
0.0556486,-2.888698358809736
0.00106167,-6.847912138913624
2.00857e-06,-13.118087531874874
0.0537892,-2.9226825754604944
6.3783e-06,-11.962608953793982
1.99182e-07,-15.429046857324538
2.86986e-06,-12.761247309870356
4.6987e-08,-16.87339486924069
0.00104378,-6.864906539697297
1.06193e-05,-11.45283745769386
4.46408e-06,-12.319447411898892
1.75327e-06,-13.254027942208172
0.00119577,-6.7289649496395
2.44174e-05,-10.62021456505653
9.68011e-13,-27.66353294406231
5.71063e-05,-9.770596114638957
6.71682e-12,-25.72640628768042
0.000105282,-9.158868093607222
5.61441e-05,-9.787588957990774
0.000105282,-9.158868093607222
0.0286845,-3.5513983717931352
0.0218561,-3.823275220201589
5.90804e-05,-9.73661132984331
9.75432e-06,-11.537800294161036
0.00966824,-4.63890899228683
0.0566023,-2.8717056585562184
0.000659717,-7.323699602778401
0.0187566,-3.976209588503183
8.30125e-07,-14.001689545085533
4.10047e-06,-12.404408956677662
1.79876e-07,-15.530998112338072
4.13698e-09,-19.303299783899902
3.04683e-09,-19.60916413108217
1.24812e-06,-13.593872138793369
0.00151692,-6.491073315668808
1.62401e-05,-11.028027065614232
0.00348792,-5.6584497089782495
3.99875e-09,-19.33728402466482
2.36015e-05,-10.654200288630484
1.59782e-11,-24.859795822735872
2.20561e-07,-15.327091536327474
4.06528e-05,-10.110442843653813
0.0382914,-3.2625299510900487
0.000851242,-7.068814098488913
6.65591e-07,-14.222590469165446
0.0118551,-4.434997124240961
2.4006e-05,-10.63720675886112
1.6951e-08,-17.89293900781006
2.00857e-06,-13.118087531874874
0.000323155,-8.03737847368437
6.21702e-05,-9.685634772702517
3.60938e-05,-10.22938945252768
2.42198e-08,-17.536095356493874
0.154254,-1.8691546846041793
0.294214,-1.2234478852712791
1.92527e-07,-15.46302943331379
9.34977e-07,-13.882743906890765
1.30276e-09,-20.45878074609883
1.21686e-07,-15.92182188054636
1.59821e-13,-29.464721955944775
0.0010089,-6.89889465054994
1.30276e-09,-20.45878074609883
0.000140542,-8.870004181477515
1.2805e-07,-15.870845024300877
4.38886e-06,-12.336441045693562
5.52117e-07,-14.409505856607186
0.00115581,-6.762953882102106
