Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
GradientBoosting,Without E_3,0.2124966329392175,0.3375880106401737,0.28538972570255455,0.14327022357338656,0.4157780961086961,0.1755862684767784,0.06932311664154325,0.5396399009289224,0.25902632047572227,0.19960158328872618,0.4909558793608964,0.39487950020081475,
SVM,Without E_3,0.0694737278075562,0.027027731703285873,0.012957386848940208,0.060571289725510014,0.1380539333225042,0.0362593388513448,0.05692894769200648,0.1287047933507051,0.06228521443907318,0.03853204232987524,0.1048812427470506,0.06936058671968481,
LogisticRegression,Without seedNumber_3,0.07251529122255858,0.03022084843005205,0.030886757546413974,0.14048834064900245,0.19701084879249572,0.021324723203640695,0.03637757113710418,0.13053441588923836,0.06511266718848327,0.033070461999585236,0.10966515703863208,0.08581505828317357,
RandomForest,Without seedNumber_3,[0.02417522 0.02417522],[0.02295114 0.02295114],[0.02310603 0.02310603],[0.01499247 0.01499247],[0.04209438 0.04209438],[0.02031758 0.02031758],[0.02730499 0.02730499],[0.03871223 0.03871223],[0.0209757 0.0209757],[0.02293588 0.02293588],[0.05474104 0.05474104],[0.03483207 0.03483207],
GradientBoosting,Without seedNumber_3,0.21623414143205216,0.32392812480613564,0.2465977054366252,0.1546439905526086,0.36642805584940136,0.1933354217369865,0.20973617215949295,0.579406133444301,0.2713981165901932,0.19430494183167565,0.48090718228075213,0.39483095671889645,
SVM,Without seedNumber_3,0.06270498279301903,0.023979202233866452,0.010745066280454126,0.057927939339404676,0.13123178303301583,0.03532251296781132,0.06524914174923438,0.13565800126195518,0.05609573574020536,0.03190395586109742,0.1063213901196495,0.06435550598284409,
LogisticRegression,Without E_diff_12,0.06920502778832147,0.030988436712528638,0.031564274694291725,0.17882098947990135,0.19960780851547982,0.050491814841327795,0.06610013549222929,0.06133350811235973,0.09028997831197537,0.03864271361644078,0.10586293681796255,0.08291867843114804,
RandomForest,Without E_diff_12,[0.02495997 0.02495997],[0.02420901 0.02420901],[0.02926498 0.02926498],[0.0158818 0.0158818],[0.03826544 0.03826544],[0.02063317 0.02063317],[0.02812165 0.02812165],[0.00569288 0.00569288],[0.02489439 0.02489439],[0.0236174 0.0236174],[0.05069779 0.05069779],[0.03670954 0.03670954],
GradientBoosting,Without E_diff_12,0.2015580859405078,0.3436597138080727,0.3290909577859103,0.16930112832758643,0.31352163256443694,0.20357325272294516,0.2165802969416053,0.05894410009061696,0.26072948198888746,0.21407785958971376,0.5634374867647393,0.37341077087517743,
SVM,Without E_diff_12,0.049994449961256786,0.03155164043405019,0.01213808991875369,0.07430491095194412,0.1325775049355828,0.04688808694818327,0.06343388893835675,0.03585994969192068,0.09192932130267686,0.04192602902084369,0.12465457027518216,0.056055778829257955,
LogisticRegression,Without pumin1_4u,0.0759970202170073,0.038583766072672054,0.029793927894357464,0.13520817833583415,0.1941769349416753,0.021379301180726857,0.07632375457481162,0.05550619426023147,0.147361701097999,0.026716158336233455,0.10817444935256523,0.08577036238335413,
RandomForest,Without pumin1_4u,[0.02334763 0.02334763],[0.02750367 0.02750367],[0.02743982 0.02743982],[0.01518144 0.01518144],[0.03685209 0.03685209],[0.02111978 0.02111978],[0.02891624 0.02891624],[0.00695344 0.00695344],[0.04515692 0.04515692],[0.02182071 0.02182071],[0.04775958 0.04775958],[0.03454327 0.03454327],
GradientBoosting,Without pumin1_4u,0.2623226487019713,0.3581693715942802,0.2803384514505652,0.1724774923604226,0.3774869161535806,0.16673831104221587,0.25466928862861204,0.06540298670916297,0.660974959278782,0.23844832371843377,0.4965354882580638,0.40642111892041655,
SVM,Without pumin1_4u,0.05828677470350072,0.028831313985716374,0.010715732854782672,0.0530447039450212,0.11642076619069963,0.03247759212627805,0.06508088333390552,0.026966826783621,0.1618556561470767,0.04149436220483877,0.11640062418128343,0.07740145296195508,
LogisticRegression,Without pumin5_8u,0.07743492113122016,0.030027149237507822,0.03250791594900517,0.14400669739211353,0.19318130438807543,0.01963822749363497,0.07135251318788823,0.05536631420515946,0.13091874107269041,0.05797047935087098,0.10585289949323892,0.08529183619667421,
RandomForest,Without pumin5_8u,[0.02403114 0.02403114],[0.02497326 0.02497326],[0.02886297 0.02886297],[0.01416056 0.01416056],[0.04228537 0.04228537],[0.01947379 0.01947379],[0.02543283 0.02543283],[0.0064115 0.0064115],[0.03906642 0.03906642],[0.02415985 0.02415985],[0.05298033 0.05298033],[0.0364684 0.0364684],
GradientBoosting,Without pumin5_8u,0.22852730760843895,0.2927407685689081,0.2883477051833345,0.19107604239933673,0.3392651254496699,0.1919924853055563,0.23847343342732064,0.053340185400005666,0.5598593101360829,0.2769603541346929,0.4780846196863444,0.39729599318644393,
SVM,Without pumin5_8u,0.07220318777357652,0.023390714991263037,0.012836974182329921,0.05785170085729062,0.12066085065348194,0.03616127023167381,0.06344022974600726,0.03175422908366414,0.13603057255583623,0.05953207789739928,0.10608611881272227,0.07363879548921154,
LogisticRegression,Without pumin1_4d,0.09106353615820965,0.023161472942586275,0.03419976768537691,0.15035640875365927,0.1957526034135027,0.03844471036282139,0.08089252940135636,0.06013847106993001,0.12372393407694929,0.07018554447414047,0.028907842237601865,0.11784618022472222,
RandomForest,Without pumin1_4d,[0.02540856 0.02540856],[0.02508155 0.02508155],[0.02895286 0.02895286],[0.01876061 0.01876061],[0.0400095 0.0400095],[0.02104106 0.02104106],[0.03087868 0.03087868],[0.00764612 0.00764612],[0.04487338 0.04487338],[0.02483827 0.02483827],[0.02589224 0.02589224],[0.03975524 0.03975524],
GradientBoosting,Without pumin1_4d,0.2599196723179732,0.32907340273356206,0.2949562746525901,0.17078976040985325,0.3658734053171705,0.21985332635278781,0.283400417477199,0.0420052598292511,0.6221785320749794,0.3006959353978146,0.21849653789091156,0.41316176326688414,
SVM,Without pumin1_4d,0.08230448353275024,0.026284520186168447,0.016788670402294523,0.07071355730649181,0.13089443510876814,0.03820317129324322,0.07302762209822913,0.032288877749065706,0.14806540090906312,0.0626010123043409,0.03843414804743162,0.09436043251744913,
LogisticRegression,Without pumin5_8d,0.07305818402375261,0.015194495067633453,0.0384375133854256,0.14440259178986342,0.2075609568945079,0.029031064278167994,0.0697020269991026,0.055058051652248995,0.11826089794071581,0.06844520309663196,0.03497850956305796,0.13153049575389042,
RandomForest,Without pumin5_8d,[0.02728815 0.02728815],[0.02574607 0.02574607],[0.02520562 0.02520562],[0.01461522 0.01461522],[0.03983948 0.03983948],[0.0210368 0.0210368],[0.0278138 0.0278138],[0.00675155 0.00675155],[0.03425357 0.03425357],[0.02495949 0.02495949],[0.02729206 0.02729206],[0.05592809 0.05592809],
GradientBoosting,Without pumin5_8d,0.25916817228342776,0.2889398151089754,0.2542694732964478,0.20369968027606472,0.3929516423094147,0.2064353492973055,0.22115915143700765,0.06024523025776983,0.5498322650949019,0.29961581989969416,0.20629285664200472,0.5920531794085007,
SVM,Without pumin5_8d,0.06705169207122837,0.022860050369511224,0.016562426372618778,0.05700201921697151,0.1332885772054903,0.038917304188201024,0.06265247398293038,0.03154394615529907,0.10804065505584923,0.06092932212844053,0.0481401024130477,0.12452678561429864,
