Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
SVM,Without E_hybrid_1,0.035718290416712296,0.034572480898012285,0.014426304670591795,0.08203809374733226,0.021464115357720262,0.06673219364989266,0.02874311339957673,0.18066065299684594,0.03913631272331382,0.06005320788446459,0.11708439165459801,0.1028141109602565,
LogisticRegression,Without seedNumber_1,0.10006011508026029,0.03997627303224021,0.01723991240353972,0.1545862627125917,0.014395624012333302,0.06146004365721218,0.029733408097282966,0.13070008192972699,0.09568546696447548,0.03939343824328263,0.13918781678136202,0.12074486683843164,
RandomForest,Without seedNumber_1,[0.01618422 0.01618422],[0.01482799 0.01482799],[0.0624879 0.0624879],[0.02166099 0.02166099],[0.01431569 0.01431569],[0.02256946 0.02256946],[0.00358535 0.00358535],[0.07005639 0.07005639],[0.03795126 0.03795126],[0.01954125 0.01954125],[0.0610873 0.0610873],[0.05629783 0.05629783],
GradientBoosting,Without seedNumber_1,0.2188441308864093,0.21621332235678747,0.6513439552068622,0.282312072260452,0.23883728848245042,0.26479437042119874,0.031181026165057867,1.0621572631912704,0.39610163775689805,0.17824199820923634,0.6020746367980493,0.7909880798133397,
SVM,Without seedNumber_1,0.05685332980367297,0.03222640799001044,0.016209007433025835,0.05907590433978087,0.028551539355263344,0.061287974982973795,0.022406530432963995,0.16832414943281487,0.052177174237612124,0.06279801376386517,0.11031445486933351,0.11118781374016269,
LogisticRegression,Without seedEbest_1,0.03257673093932734,0.036944646958732154,0.017502662815767994,0.14288017817394208,0.14013127477250245,0.05527131425216486,0.06823814084278626,0.1254114932358224,0.08379463351039233,0.03454358487133725,0.1309737130272038,0.10584942207230566,
RandomForest,Without seedEbest_1,[0.01315158 0.01315158],[0.01346529 0.01346529],[0.06401205 0.06401205],[0.02089292 0.02089292],[0.04338678 0.04338678],[0.02004476 0.02004476],[0.00457825 0.00457825],[0.06903979 0.06903979],[0.03781615 0.03781615],[0.02009293 0.02009293],[0.05864527 0.05864527],[0.05253559 0.05253559],
GradientBoosting,Without seedEbest_1,0.18645144965994015,0.20429689247924782,0.5922508037539966,0.3338312717422887,0.5823480763678917,0.2176986142595741,0.06721429313408567,1.2528165431835976,0.3862430258840468,0.23611518504639784,0.61986800671239,0.7719374938798681,
SVM,Without seedEbest_1,0.044733141275009033,0.030077743720423038,0.014329418278605188,0.06937426200911681,0.08554158960111799,0.05137388897940661,0.03702961145040884,0.16389834361237737,0.04286410293562577,0.06911822154041936,0.11057863289498451,0.09861963190335243,
LogisticRegression,Without E_3,0.04483862933093481,0.03724317435432921,0.01785621970139797,0.15225937919464033,0.14151468212804513,0.009267317954877832,0.02978721389731894,0.12572791156206167,0.08672605873387829,0.04219624669362092,0.1329449429343102,0.1103046206443572,
