Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
SVM,Without seedNumber_1,0.7085057471264368,0.08222561436729442,0.7620104895104894,0.12232650780677541,0.6352380952380952,0.06677542149698323,0.6875604395604397,0.07514177398304597,"[0.05685333 0.03222641 0.01620901 0.0590759  0.02855154 0.06128797
 0.02240653 0.16832415 0.05217717 0.06279801 0.11031445 0.11118781]"
LogisticRegression,Without seedEbest_1,0.6942528735632184,0.12699354946828223,0.6916855203619909,0.12150269181150809,0.7028571428571428,0.14918067999391446,0.6944700460829493,0.1299637215636669,"[0.03257673 0.03694465 0.01750266 0.14288018 0.14013127 0.05527131
 0.06823814 0.12541149 0.08379463 0.03454358 0.13097371 0.10584942]"
RandomForest,Without seedEbest_1,0.6949425287356321,0.08346315690120672,0.721474358974359,0.11790516196899484,0.6619047619047619,0.043225926544419854,0.6877248677248677,0.07349768187543522,"[[0.01315158 0.01315158]
 [0.01346529 0.01346529]
 [0.06401205 0.06401205]
 [0.02089292 0.02089292]
 [0.04338678 0.04338678]
 [0.02004476 0.02004476]
 [0.00457825 0.00457825]
 [0.06903979 0.06903979]
 [0.03781615 0.03781615]
 [0.02009293 0.02009293]
 [0.05864527 0.05864527]
 [0.05253559 0.05253559]]"
GradientBoosting,Without seedEbest_1,0.6816091954022988,0.06726642622222667,0.6991892911010558,0.09247512424170325,0.660952380952381,0.09890099036759749,0.6731374543143176,0.0703924478147201,"[0.18645145 0.20429689 0.5922508  0.33383127 0.58234808 0.21769861
 0.06721429 1.25281654 0.38624303 0.23611519 0.61986801 0.77193749]"
SVM,Without seedEbest_1,0.7080459770114942,0.11185744849224219,0.7537456008044243,0.13556563920133352,0.6485714285714286,0.11453940097807931,0.6899385560675884,0.11194342125688178,"[0.04473314 0.03007774 0.01432942 0.06937426 0.08554159 0.05137389
 0.03702961 0.16389834 0.0428641  0.06911822 0.11057863 0.09861963]"
LogisticRegression,Without E_3,0.6942528735632184,0.11575117846096028,0.6942693744164332,0.11867952879631688,0.7161904761904762,0.12910295773585176,0.7004284596053229,0.10953380645773393,"[0.04483863 0.03724317 0.01785622 0.15225938 0.14151468 0.00926732
 0.02978721 0.12572791 0.08672606 0.04219625 0.13294494 0.11030462]"
RandomForest,Without E_3,0.7289655172413794,0.08296080029141123,0.7529761904761905,0.11551300345958444,0.7019047619047619,0.03922144815614092,0.7243422733077904,0.07375567275957663,"[[0.01464698 0.01464698]
 [0.01482286 0.01482286]
 [0.06648118 0.06648118]
 [0.02281249 0.02281249]
 [0.04195901 0.04195901]
 [0.01348282 0.01348282]
 [0.00366305 0.00366305]
 [0.07112993 0.07112993]
 [0.03449023 0.03449023]
 [0.02079304 0.02079304]
 [0.0558193  0.0558193 ]
 [0.05361635 0.05361635]]"
GradientBoosting,Without E_3,0.6680459770114943,0.06947474830945541,0.6697478991596639,0.07192609723203583,0.660952380952381,0.08946299859670384,0.6642857142857143,0.07572279455154715,"[0.16744067 0.2202542  0.57531279 0.30483945 0.57513665 0.241638
 0.03245784 1.19696702 0.36827082 0.25225041 0.61519958 0.77115148]"
SVM,Without E_3,0.6947126436781609,0.11453398659963371,0.7608974358974359,0.15588394003662218,0.621904761904762,0.10697235110170643,0.6728634690591212,0.10547654622414587,"[0.04174938 0.03101834 0.01731943 0.07882626 0.08083609 0.0143688
 0.01960725 0.15555146 0.0496878  0.07032726 0.11095424 0.09719654]"
LogisticRegression,Without seedNumber_3,0.6740229885057472,0.10278098961962691,0.6769524489957927,0.10578172767090885,0.6895238095238095,0.1226465526248019,0.6777729677729678,0.10197452101280925,"[0.03737195 0.03820686 0.01876041 0.14334731 0.13371926 0.01156526
 0.0214956  0.12456935 0.08828902 0.04350943 0.13181909 0.10909143]"
RandomForest,Without seedNumber_3,0.7089655172413794,0.09818918002838495,0.7203296703296704,0.11848783577304642,0.6876190476190475,0.0968248763972483,0.7026219609089465,0.10304556785966643,"[[0.01394372 0.01394372]
 [0.01498957 0.01498957]
 [0.05810462 0.05810462]
 [0.02235718 0.02235718]
 [0.04585292 0.04585292]
 [0.0145228  0.0145228 ]
 [0.0195096  0.0195096 ]
 [0.06560149 0.06560149]
 [0.03108392 0.03108392]
 [0.01928571 0.01928571]
 [0.05209287 0.05209287]
 [0.05223126 0.05223126]]"
GradientBoosting,Without seedNumber_3,0.6747126436781608,0.07411431504825505,0.6728592975651798,0.08287118890164229,0.6876190476190477,0.08716237096112421,0.6781403940886699,0.07609791166306552,"[0.15107939 0.19651206 0.57175604 0.30763617 0.54290715 0.2250551
 0.23623221 1.21572281 0.36459185 0.21554077 0.61663002 0.83570775]"
SVM,Without seedNumber_3,0.7220689655172413,0.08942617379816542,0.7813034188034188,0.13408847496164475,0.6485714285714285,0.07751234266428876,0.702010582010582,0.08352913923885978,"[0.0407232  0.03127414 0.01542027 0.06343082 0.07244263 0.01763806
 0.03922787 0.15966731 0.04255215 0.06529827 0.11528827 0.0942725 ]"
LogisticRegression,Without E_diff_12,0.6813793103448276,0.09071987900140666,0.6970511841100077,0.10041206600388983,0.6619047619047619,0.09476070829586858,0.6750680243005048,0.08720532074127146,"[0.03323102 0.03386701 0.02041975 0.19954731 0.14848979 0.01119249
 0.04272705 0.0521409  0.11281732 0.03446215 0.12983    0.11117593]"
RandomForest,Without E_diff_12,0.6411494252873563,0.07642563223499144,0.6476470588235295,0.09328388869902039,0.6333333333333333,0.07888106377466153,0.6383333333333333,0.07738791177495931,"[[0.01156096 0.01156096]
 [0.01701137 0.01701137]
 [0.07319297 0.07319297]
 [0.03278178 0.03278178]
 [0.04187899 0.04187899]
 [0.01338611 0.01338611]
 [0.02646157 0.02646157]
 [0.00330059 0.00330059]
 [0.03697265 0.03697265]
 [0.019653   0.019653  ]
 [0.05989292 0.05989292]
 [0.05253419 0.05253419]]"
GradientBoosting,Without E_diff_12,0.6004597701149426,0.06011219527359138,0.6022435897435897,0.06404163771287195,0.5933333333333334,0.06798692684790378,0.5970814132104454,0.06330439867297998,"[0.11330487 0.31158967 0.87826349 0.43707438 0.41662021 0.26214535
 0.11615777 0.03826439 0.41686469 0.23072457 0.70443426 0.67063867]"
SVM,Without E_diff_12,0.6618390804597701,0.0628196410855479,0.6820187165775401,0.09973154506165784,0.6485714285714286,0.04952380952380951,0.6588916459884201,0.04487162334684181,"[0.03325145 0.0410629  0.02105532 0.14173439 0.08719222 0.02285923
 0.05822972 0.03445649 0.11761174 0.09223835 0.11641144 0.07050946]"
LogisticRegression,Without pumin1_4u,0.6675862068965518,0.10297054441077069,0.6705128205128206,0.10123639834451781,0.6619047619047619,0.12684913459636138,0.6633350401092337,0.10831959381688488,"[0.03471584 0.05054526 0.01509469 0.14067334 0.15380034 0.01063432
 0.06798238 0.07331098 0.14764711 0.03854479 0.13296994 0.10575147]"
RandomForest,Without pumin1_4u,0.6891954022988505,0.038894758253264224,0.7148351648351648,0.05918783740437464,0.6352380952380952,0.030056635882018092,0.6717569786535303,0.03764669978006345,"[[0.01419369 0.01419369]
 [0.01647994 0.01647994]
 [0.06083253 0.06083253]
 [0.02266016 0.02266016]
 [0.04740468 0.04740468]
 [0.01291919 0.01291919]
 [0.0235157  0.0235157 ]
 [0.00357857 0.00357857]
 [0.07285156 0.07285156]
 [0.02056928 0.02056928]
 [0.05915737 0.05915737]
 [0.05439161 0.05439161]]"
GradientBoosting,Without pumin1_4u,0.6956321839080459,0.07251188393770003,0.7038461538461538,0.08289968884633978,0.6742857142857142,0.08419823278209657,0.6878436357857938,0.07902785154310597,"[0.19882169 0.22134752 0.47744428 0.29649519 0.63536648 0.24338748
 0.3144438  0.06683815 1.32895773 0.27106408 0.67914542 0.79933503]"
