Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
LogisticRegression,Without seedNumber_1,0.1494255616261448,0.02797746934680151,0.013778069932515749,0.09350510271749407,0.07123546683546204,0.16540663465626307,0.027113304937728823,0.03475763272405883,0.05016915165310258,0.0879355893942946,0.11400218857327031,0.08324746110830253,
RandomForest,Without seedNumber_1,[0.06193138 0.06193138],[0.01599701 0.01599701],[0.0507438 0.0507438],[0.01521142 0.01521142],[0.04622989 0.04622989],[0.06490137 0.06490137],[0.01530766 0.01530766],[0.02385645 0.02385645],[0.0225553 0.0225553],[0.02889275 0.02889275],[0.03851267 0.03851267],[0.04317081 0.04317081],
GradientBoosting,Without seedNumber_1,0.9634714243684419,0.1784906899959226,0.5516179154996552,0.20723322678997375,0.8721145423593342,0.9793212301119996,0.020468784671737,0.48847705190573115,0.26153052118390446,0.3806555600435657,0.6074706713467561,0.6678145916581693,
SVM,Without seedNumber_1,0.11050969895041296,0.022392782606506338,0.005964391883564653,0.02842819103285471,0.09675931391490597,0.15410021688644238,0.04360944607541779,0.021325772619314752,0.03525000590654307,0.06595531859591293,0.09263469391138786,0.06840090869704249,
LogisticRegression,Without seedEbest_1,0.08124215037043471,0.028249031968312167,0.009801063078526207,0.09650995508914757,0.21855011952003994,0.10246338069442858,0.026171387170313476,0.0582436698337494,0.027222403994068767,0.07579825346952887,0.0940530048963344,0.06254494809415176,
RandomForest,Without seedEbest_1,[0.05681174 0.05681174],[0.01687567 0.01687567],[0.0529533 0.0529533],[0.01375386 0.01375386],[0.07799992 0.07799992],[0.05970866 0.05970866],[0.01327346 0.01327346],[0.0270503 0.0270503],[0.01838401 0.01838401],[0.02796837 0.02796837],[0.03389045 0.03389045],[0.04171729 0.04171729],
GradientBoosting,Without seedEbest_1,0.9038222956677012,0.3024630412156441,0.571082327021816,0.24559492570581137,1.0243856868471668,0.7924948894685965,0.035535561659245346,0.46153766687370623,0.18049608031775363,0.40993474235517907,0.4417785071440884,0.6710970274323763,
SVM,Without seedEbest_1,0.09111814601061775,0.021836048626560405,0.005966722058060772,0.025104298533681284,0.17033848799469248,0.10313874258256628,0.039563471659493435,0.0271182000920998,0.021359597856210537,0.05139063729237875,0.06212882159246528,0.08104530483864705,
LogisticRegression,Without E_3,0.09030575898874575,0.03247492935589907,0.01083567999657017,0.11130059791640576,0.23520874908660505,0.013667694609391013,0.0593410165664849,0.05809831249956463,0.02772240846699846,0.0837797874526603,0.09802162033266792,0.07193918182862913,
RandomForest,Without E_3,[0.0533362 0.0533362],[0.01471768 0.01471768],[0.05799823 0.05799823],[0.01415794 0.01415794],[0.08092329 0.08092329],[0.03411778 0.03411778],[0.02545067 0.02545067],[0.02505165 0.02505165],[0.01750454 0.01750454],[0.03261009 0.03261009],[0.03833678 0.03833678],[0.04366876 0.04366876],
GradientBoosting,Without E_3,0.8247993039787103,0.2262806618741863,0.6689543861944222,0.2782854250694858,0.8710074575716338,0.6058167358452279,0.26061370607335044,0.6487108462824469,0.19353766395857525,0.46559965656653,0.5317500461311583,0.79050132166631,
SVM,Without E_3,0.10131398261791331,0.026521681450902685,0.004777691551617399,0.036942314959832544,0.15925731216495023,0.061441809148984984,0.1057869467646764,0.02244881488880263,0.02809349238901826,0.0486905461014908,0.07421902093234292,0.06464185117682142,
LogisticRegression,Without seedNumber_3,0.07765887163518082,0.027484366689520662,0.011180819957856978,0.09731243104902983,0.21366829019312483,0.016859076115832622,0.09576047652859146,0.05937726937505646,0.02940925739357541,0.0764041077429123,0.0947512358288081,0.06350806453509311,
RandomForest,Without seedNumber_3,[0.0532299 0.0532299],[0.01455499 0.01455499],[0.04913312 0.04913312],[0.01431132 0.01431132],[0.06758461 0.06758461],[0.03259953 0.03259953],[0.06426103 0.06426103],[0.02395684 0.02395684],[0.01848398 0.01848398],[0.02660311 0.02660311],[0.03220171 0.03220171],[0.04529895 0.04529895],
GradientBoosting,Without seedNumber_3,0.8442468517376636,0.17734329029351506,0.5863392502546423,0.20804900017221684,0.7678397092954865,0.6984942392947588,0.8766786578330865,0.4753958711151568,0.22161873684747935,0.3495916767649917,0.5594174168329105,0.6812841240758372,
SVM,Without seedNumber_3,0.09147905887908667,0.022180810225055407,0.005296365612571225,0.03420614676922458,0.13302086481950054,0.07182697315546818,0.14018273101148537,0.017609608186758097,0.019212980729952624,0.04699511944172438,0.06941648771818477,0.05171641121333913,
LogisticRegression,Without E_diff_12,0.08681726260796487,0.03361351275056312,0.011564152439331548,0.09421939405557149,0.19940290684197184,0.01926880396050759,0.1058481061687547,0.03144518744520456,0.025665246660822,0.07154806824888711,0.10899579121780464,0.06344687815650109,
RandomForest,Without E_diff_12,[0.0524798 0.0524798],[0.01505815 0.01505815],[0.04854321 0.04854321],[0.0162245 0.0162245],[0.06328453 0.06328453],[0.03453479 0.03453479],[0.06750726 0.06750726],[0.01292436 0.01292436],[0.02068279 0.02068279],[0.03133584 0.03133584],[0.03594942 0.03594942],[0.04445506 0.04445506],
GradientBoosting,Without E_diff_12,0.7893391055423293,0.2365461137485958,0.49768399592507323,0.21795154346497392,0.7255506870828549,0.6954008575404572,0.9103548204657045,0.01571802038120087,0.18575067348465016,0.46279544892597535,0.5385519867072522,0.6991524365511651,
