E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-19.89,0.0114589,4.27894e-7,-31.15,12,-7.79,-4.56,4.19,2,-8.3,0.2224705,0.2311249,0.5071413,0.386287,0.18
-18.71,0.00788481,4.38779e-4,-26.11,8,-5.84,-12.99,4.54,4,-7.25,0.5451849,0.5599846,0.2927647,0.187819,0
-15.4,0.0114589,1.75284e-4,-23.12,5,-3.55,-9.83,8.67,4,-9.200000000000001,0.4292165,0.3127823,0.07124596,0.1372519,0
-16.9,0.0010089,9.67061e-5,-26.4,8,-3.58,-10.31,5.41,4,-8.040000000000003,0.9873714,0.1172563,0.08653774,0.1367726,0.03
-17.31,7.49662e-7,7.75386e-5,-31.18,11,-5.69,-11.67,2.38,4,-7.380000000000003,0.08299017,0.01955963,0.2805681,0.2141669,0.22
-18.14,1.16582e-4,7.18394e-6,-30.44,8,-8.23,0,999999,0,-9.16,0.06652945,0.2685747,0.7527458,0.2934664,0.19
-12.86,1.04404e-5,2.00808e-4,-24.62,9,-4.41,-9.32,1.26,2,-7.41,0.2893348,0.1154838,0.5703905,0.9548111,0.09
-10.44,0.0211258,3.40139e-6,-20.12,2,-1.06,-10.07,3.16,4,-7.590000000000002,0.5667476,0.0358455,0.07647938,0.09378025,0
-13.38,0.00379721,5.80849e-5,-22.4,3,-4.94,-11.09,1.86,4,-9.83,0.1514836,0.2303399,0.1356832,0.1340578,0.03
-12.33,0.00176758,2.04299e-6,-23.77,5,-1.69,-10.57,2.93,4,-7.8100000000000005,0.1107101,0.568258,0.357455,0.2778523,0.06
-9.81,1.19635e-7,4.03039e-4,-23.79,3,-1.5,-8.69,3.87,2,-9.049999999999999,0.082195,0.2284893,0.0474013,0.008199068,0.07
-25.26,0.00216738,0.0694049,-30.44,11,-7.47,-14.55,1.57,4,-6.789999999999996,0.4695441,0.5338062,0.4673576,0.5862914,0.42
-17.83,6.82523e-4,1.09891e-7,-31.55,8,-4.78,-9.96,1.46,4,-7.130000000000003,0.4369639,0.2047251,0.2784241,0.3169451,0.01
-20.42,1.81388e-6,7.12404e-7,-36.53,8,-6.67,-0.47,1.32,1,-10.68,0.01286162,0.1147355,0.009715631,0.04969379,0.09
-20.4,0.00102619,5.56759e-6,-31.57,4,-1.92,0,999999,0,-6.960000000000001,0.094612280000000007,0.3701565,0.4355419,0.07601848,0.03
-20.69,0.00162361,1.55665e-6,-32.34,8,-6.48,-8.67,7.8,2,-7.969999999999999,0.1073128,0.06815727,0.2444808,0.2955807,0.09
-18.32,7.00229e-5,0.0163726,-26.37,6,-8.94,-12.03,2.16,4,-9.489999999999998,0.6551085,0.2384021,0.1920993,0.1191034,0.09
-23.41,0.00248298,2.8215e-6,-34.46,12,-8.15,-6.21,7.52,1,-7.329999999999998,0.243899,0.1998927,0.1470569,0.06336888,0.21
-16.94,1.19606e-5,5.56759e-6,-30.73,11,-7.38,-9.95,6.97,2,-5.809999999999999,0.03788914,0.2430677,0.1448464,0.08985868,0.08
-15.81,7.95501e-6,4.06628e-7,-31.38,10,-5.57,-7.17,0.14,2,-10.179999999999998,0.03902208,0.1718986,0.05577351,0.3598352,0.33
-18.01,1.08921e-4,0.00170852,-27.13,11,-4.65,-11.85,2.29,4,-6.069999999999997,0.1250476,0.1236663,0.2273269,0.2886709,0.24
-13.57,4.06727e-9,1.46659e-5,-31.49,8,-3.11,-10.07,0.1,2,-7.759999999999998,0.03354387,0.00986248,0.009252842,0.1588465,0.01
-16.76,7.81906e-4,3.04609e-7,-29.8,10,-4.2,-5.88,0.69,2,-9.27,0.4262322,0.3933981,0.1443879,0.2821698,0.07
-16.51,1.66573e-4,0.00386229,-24.9,4,-5.46,0,999999,0,-7.329999999999998,0.9140388,0.1118085,0.02207435,0.05907892,0.07
-13.62,0.0363883,0.00465609,-18.73,7,-4.38,-9.69,3.37,4,-10.19,0.7179224,0.4942838,0.2086186,0.3447933,0.01
-18.62,3.34408e-6,8.5861e-5,-31.55,9,-5.68,0,999999,0,-6.73,0.7149473,0.06643466,0.05402559,0.1351752,0.03
-14.48,0.0010089,1.78376e-8,-29.04,7,-3.05,-13.45,10.5,4,-10.05,0.3470897,0.4308069,0.1979291,0.1109307,0.03
-16.51,0.0013468,9.03515e-5,-25.88,12,-7.7,-7.71,4.32,4,-11.279999999999998,0.3686423,0.3109759,0.7817117,0.6045354,0.46
-18.11,1.66573e-4,0.00392848,-26.49,11,-6.4,-10.39,2.98,4,-6.91,0.06817314,0.1479222,0.2913992,0.7680756,0.19
-24.63,8.80668e-4,0.00788481,-31.62,12,-7.23,-11.87,1.72,4,-4.240000000000002,0.2401849,0.0220921,0.1588874,0.3091715,0.06
-9.98,1.50427e-4,4.902e-7,-23.71,3,-3.4,-7.2,0.11,2,-11.84,0.2798245,0.004233709,0.3708363,0.4375508,0.08
-16.88,0.011076,0.0019573,-23.2,7,-4.73,-9.91,3.24,4,-3.370000000000001,0.6252395,0.7477696,0.3660337,0.09905933,0.08
-13.32,2.14984e-6,3.7674e-8,-31.06,7,-5.43,-13.11,1.66,4,-10.09,0.9151312,0.05978863,0.07263753,0.0935634,0.03
-14.1,4.27789e-5,3.93137e-9,-31.41,4,-6.59,0,999999,0,-10.17,0.1041302,0.1398534,0.1857779,0.06416085,0.09
-7.78,2.30104e-6,8.3731e-8,-25.01,3,-1.94,-0.21,1.61,1,-7.069999999999999,0.6810907,0.01488784,0.9147253,0.005136728,0.03
-16.66,0.00261283,1.45436e-6,-28.07,8,-4.76,-2.77,11.23,1,-5.690000000000001,0.1060944,0.6078613,0.2108931,0.2040979,0.09
-14.22,0.0307019,0.121596,-17.51,4,-8.92,-5.12,1.16,2,-4.429999999999998,0.2040979,0.1853312,0.2507437,0.2685875,0
-21.2,7.75386e-5,1.95826e-7,-35.86,9,-3.56,-11.49,9.09,4,-3.789999999999999,0.07524854,0.1950263,0.04756359,0.9029917,0.13
-14.52,2.38e-4,1.41828e-9,-31.42,8,-5.18,-5.6,0.53,2,-9.73,0.8958031,0.04756359,0.06251391,0.2337105,0
-18.31,0.0511159,4.85993e-6,-27.26,12,-4.85,-4.82,0.09,4,-4.57,0.2917839,0.8026928,0.1225634,0.11114980000000001,0.1
-20.61,2.18668e-6,3.70301e-6,-35.64,8,-7.28,-12.85,7.36,4,-7.02,0.04227938,0.07933595,0.04415536,0.05789422,0.02
-15.66,3.20461e-5,1.1858e-4,-27.07,11,-6.76,-9.65,2.89,4,-9.719999999999999,0.05418281,0.06013704,0.3600727,0.6189527,0.14
-15.16,2.70448e-7,7.95892e-10,-36.39,8,-6.96,-5.54,1.1,1,-10,0.6190795,0.5187676,0.02635113,0.0213464,0
