Model,Feature Set,Kernel,C,Gamma,Degree,Coef0,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=poly, C=10, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,scale,3,0.0,0.6857142857142857,0.09805362039035238,0.6494871794871795,0.081179665354454,0.8290909090909091,0.09098178911415856,0.7270903010033445,0.07964080838066738
"SVM (kernel=sigmoid, C=1, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,1.0,scale,3,0.0,0.7142857142857142,0.1412609235637269,0.7328282828282828,0.1323810499022697,0.7363636363636364,0.11977941157818622,0.7264018632439685,0.11103247113038392
"SVM (kernel=poly, C=0.1, gamma=1, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,1,3,0.0,0.6952380952380952,0.13669238185149832,0.6728021978021979,0.11751821190441694,0.8163636363636364,0.18985858155936894,0.7254952766531714,0.1226937151102965
"SVM (kernel=poly, C=100, gamma=0.1, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.1,3,0.0,0.6952380952380952,0.13669238185149832,0.6728021978021979,0.11751821190441694,0.8163636363636364,0.18985858155936894,0.7254952766531714,0.1226937151102965
"SVM (kernel=poly, C=10, gamma=auto, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,auto,3,0.0,0.6857142857142856,0.08832017614757813,0.6489102564102565,0.07776557854925653,0.8272727272727274,0.09689390977799439,0.7254890037498732,0.07760966210693536
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,3,0.0,0.638095238095238,0.0645936188869073,0.5890522875816993,0.043212698930787795,0.9454545454545455,0.07272727272727272,0.7248677248677249,0.04699771003429088
"SVM (kernel=poly, C=1, gamma=scale, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,scale,3,0.1,0.638095238095238,0.0645936188869073,0.5890522875816993,0.043212698930787795,0.9454545454545455,0.07272727272727272,0.7248677248677249,0.04699771003429088
"SVM (kernel=poly, C=100, gamma=0.1, degree=5, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,0.1,5,0.1,0.6761904761904762,0.11024606574085928,0.6446520146520147,0.09273813819075488,0.830909090909091,0.06744449814905965,0.7247132867132867,0.0826716066875493
"SVM (kernel=poly, C=1, gamma=auto, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1.0,auto,3,0.0,0.638095238095238,0.057142857142857155,0.5890522875816993,0.043212698930787795,0.9436363636363636,0.046140281965270986,0.7247035212552454,0.042031800924006005
"SVM (kernel=sigmoid, C=1, gamma=0.1, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,1.0,0.1,3,0.0,0.7238095238095237,0.06998542122237651,0.7487878787878788,0.09281261889583461,0.7181818181818183,0.09689390977799442,0.7245267013688068,0.05817620975515714
"SVM (kernel=poly, C=0.01, gamma=1, degree=2, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.01,1,2,0.1,0.6476190476190476,0.07126966450997982,0.5974673202614379,0.06026045431831659,0.9218181818181819,0.07443450723803169,0.724251610458507,0.06301500662783274
"SVM (kernel=poly, C=0.1, gamma=scale, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,scale,3,0.1,0.6190476190476191,0.07968190728895956,0.5777777777777777,0.06666666666666667,0.9818181818181818,0.036363636363636376,0.7239610963748895,0.046940859481625644
"SVM (kernel=sigmoid, C=0.1, gamma=0.1, degree=3, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,0.1,0.1,3,1.0,0.6666666666666667,0.09988655696858584,0.6485308972073678,0.1288922348920212,0.8545454545454547,0.13606026860996148,0.7230399230399229,0.07624208124037596
"SVM (kernel=poly, C=10, gamma=scale, degree=2, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,scale,2,0.1,0.7047619047619047,0.09233675918888246,0.6808857808857809,0.09177875817046384,0.7709090909090909,0.10323686957511558,0.7227837380011293,0.09586468260200179
"SVM (kernel=poly, C=1000, gamma=0.001, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1000.0,0.001,5,1.0,0.7047619047619047,0.09233675918888246,0.6862121212121212,0.09703643536732512,0.7690909090909092,0.12191312446720151,0.7218014513666688,0.09519460950535903
"SVM (kernel=poly, C=10, gamma=0.01, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,0.01,5,1.0,0.7047619047619047,0.08192690730516786,0.6871212121212121,0.08722326039166216,0.7690909090909092,0.12191312446720151,0.721104253827366,0.08678715588147876
"SVM (kernel=sigmoid, C=1, gamma=scale, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,1.0,scale,3,0.1,0.7142857142857142,0.11268723396380217,0.7376767676767677,0.1182990008697234,0.7181818181818183,0.09689390977799442,0.7205706574127626,0.08900433904319921
"SVM (kernel=poly, C=10, gamma=auto, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,10.0,auto,3,0.1,0.6761904761904761,0.09233675918888248,0.6442948717948719,0.08042263853514527,0.8272727272727274,0.09689390977799439,0.7205641025641025,0.07274289832738119
