Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
SVM,Without seedEbest_1,0.09198541614791182,0.02331199637951519,0.007514854725388478,0.025745179456089895,0.1705481905003504,0.10372236958457563,0.041311711590157923,0.029339953760848435,0.02306757863016113,0.053222523701849565,0.06332526986623102,0.08273186368361334,
LogisticRegression,Without E_3,0.09114186901355972,0.03414954825326123,0.01447530285044674,0.11201749531053898,0.23593316034013695,0.01628708700252851,0.06027703812079492,0.05886565692079826,0.02992769566528957,0.08406525398010721,0.0989639059193629,0.07299094457581064,
RandomForest,Without E_3,[0.05726118 0.05726118],[0.01585858 0.01585858],[0.06142506 0.06142506],[0.01287086 0.01287086],[0.07339163 0.07339163],[0.03290902 0.03290902],[0.02791886 0.02791886],[0.02670724 0.02670724],[0.01840085 0.01840085],[0.03493935 0.03493935],[0.04051554 0.04051554],[0.04341967 0.04341967],
GradientBoosting,Without E_3,0.82379175795872,0.23653167244706172,0.7065468794011588,0.30494457161827454,0.9028457508519283,0.6070648380200835,0.2478200096032611,0.615483178238038,0.1907736929896519,0.472496879500917,0.5400784438956421,0.7837112031234954,
SVM,Without E_3,0.10163295600848021,0.02844977714858261,0.0069234946102076644,0.0379935698093586,0.1597066386680112,0.06197490841370333,0.10658709575957956,0.023952298633168223,0.029384716405892776,0.04976594002166313,0.07542761710936192,0.06622638439156783,
LogisticRegression,Without seedNumber_3,0.078015990297402,0.028922880160644066,0.014204954603239534,0.09740174667572869,0.21368483320596857,0.018931617864212723,0.09726998054295098,0.05995278276618641,0.03125085224860074,0.07717738866136128,0.09536699985279544,0.0643186127483643,
RandomForest,Without seedNumber_3,[0.05557469 0.05557469],[0.01482625 0.01482625],[0.05012208 0.05012208],[0.01775799 0.01775799],[0.06644185 0.06644185],[0.03434077 0.03434077],[0.05603095 0.05603095],[0.02040541 0.02040541],[0.01873322 0.01873322],[0.03042443 0.03042443],[0.03610781 0.03610781],[0.04121032 0.04121032],
GradientBoosting,Without seedNumber_3,0.8404517504670805,0.16808669540240753,0.5424047517490422,0.2080708450346403,0.7431371567683638,0.683029829580737,0.9088449780205012,0.48875057882732387,0.23990099128428502,0.3298036502095082,0.5253794692267599,0.6730762702345171,
SVM,Without seedNumber_3,0.09232874938697898,0.0237573029593474,0.006993226749111689,0.034543683352854036,0.1336980492485042,0.07251865845760143,0.14071104837570808,0.019220266225519055,0.02054197872302547,0.04798579844757896,0.07065566964716427,0.05238615381314761,
LogisticRegression,Without E_diff_12,0.08814833774526798,0.0351588670965963,0.015057139247994645,0.09494450525873122,0.19925297389337882,0.0215358679539337,0.10674894994323729,0.03248786640213659,0.026718867188042915,0.07213352892498293,0.10953896241432459,0.0643460073179922,
RandomForest,Without E_diff_12,[0.06124469 0.06124469],[0.01481506 0.01481506],[0.0497109 0.0497109],[0.01659229 0.01659229],[0.0649589 0.0649589],[0.0329563 0.0329563],[0.06053859 0.06053859],[0.01634163 0.01634163],[0.01652676 0.01652676],[0.03796823 0.03796823],[0.03778223 0.03778223],[0.04052315 0.04052315],
GradientBoosting,Without E_diff_12,0.7595988772195479,0.27157344397351857,0.5384147537018305,0.20883569496121118,0.6851232933636929,0.6989491198860331,0.9063582971691201,0.014946044060964659,0.2003186971892294,0.44796544925305926,0.5310931567154952,0.7050631595154313,
SVM,Without E_diff_12,0.08169268497116128,0.028000310071749284,0.006891639868476922,0.03190554791814282,0.13918565456289383,0.06842741121628673,0.11420158292768293,0.0336879934603764,0.01707092651069254,0.06152000558267776,0.08211401130192633,0.05439136698478684,
LogisticRegression,Without pumin1_4u,0.08607117868511063,0.03249337771346186,0.013015702777093676,0.09995651916897805,0.21987532259805795,0.017999645531925918,0.10617335729453911,0.02859915346661116,0.05659735753192065,0.08095273203845901,0.09792532691457645,0.061969216895194766,
RandomForest,Without pumin1_4u,[0.0554805 0.0554805],[0.01679653 0.01679653],[0.05257025 0.05257025],[0.0145211 0.0145211],[0.06973577 0.06973577],[0.03418229 0.03418229],[0.05983277 0.05983277],[0.0160013 0.0160013],[0.0235544 0.0235544],[0.02803866 0.02803866],[0.03222502 0.03222502],[0.04592539 0.04592539],
GradientBoosting,Without pumin1_4u,0.8798288324081722,0.23464373833153976,0.5875800115070018,0.22641791724597288,0.7500300045927443,0.7142927304472526,0.856185118372589,0.024400636553532414,0.4575431610296315,0.36086921646732256,0.4798852128010587,0.7262516154872878,
SVM,Without pumin1_4u,0.09272603103455522,0.02334011834974016,0.007916200515598649,0.024906793231489494,0.13691983293135834,0.05880678050346768,0.1203435125329505,0.039506551471327464,0.017616277454158263,0.046387898850955823,0.0761756111535259,0.05399894332411929,
LogisticRegression,Without pumin5_8u,0.07510801990678703,0.03670662508551034,0.014062726314536264,0.10022317256278446,0.22696051940341705,0.017619439815717015,0.11915518048812249,0.028375914701851544,0.06250831870966694,0.046399130051969696,0.08008586041440158,0.08971868433230135,
RandomForest,Without pumin5_8u,[0.0575209 0.0575209],[0.01528786 0.01528786],[0.05022727 0.05022727],[0.01460323 0.01460323],[0.06159801 0.06159801],[0.03731755 0.03731755],[0.05704132 0.05704132],[0.0168702 0.0168702],[0.02477793 0.02477793],[0.01780083 0.01780083],[0.03601798 0.03601798],[0.04537474 0.04537474],
GradientBoosting,Without pumin5_8u,0.6779712921321336,0.1857575649197452,0.5421132257111979,0.23605028093923833,0.7777463554625945,0.6589068692940444,0.979398508523491,0.020133110693112938,0.5260876878449832,0.2958253241356722,0.44752179129234626,0.7203053789243896,
SVM,Without pumin5_8u,0.08849783352265507,0.030168016785569417,0.007043351808690454,0.02902358037084456,0.14357114773427854,0.06719255300847618,0.12844235007555582,0.03667105270914435,0.02466240858406691,0.02837436833148909,0.056981189794111,0.05578995691849764,
LogisticRegression,Without pumin1_4d,0.08649634600898959,0.03268572978397992,0.01646095661954703,0.11831514380013339,0.2297170613097519,0.024180856998264076,0.1070014939704248,0.028820351768966156,0.0726839950435002,0.03908625844721926,0.05437317975819522,0.10072860068198146,
