pumin5_8u,pumin5_8u_log
0.007552137,-4.885924709413651
0.138852,-1.9743466612999363
0.06145732,-2.7894123288276864
0.3118949,-1.1650890068967428
0.658268,-0.4181431357460185
0.8066508,-0.21486441811444787
0.2589854,-1.3509835895278552
0.680715,-0.3846115626317551
0.4471204,-0.8049273694066734
0.2427592,-1.415685273455734
0.2272269,-1.4818062012562934
0.3949093,-0.9290991607009463
0.1737108,-1.7503634315021324
0.1020472,-2.282319827633321
0.2121224,-1.550591812426847
0.0596074,-2.819975551544356
0.3889168,-0.9443898399877257
0.1500094,-1.8970573201826884
0.1416693,-1.954259810663295
0.08262297,-2.4934675499472037
0.8147224,-0.2049078372601598
0.549484,-0.598775622941816
0.3808743,-0.9652858795512709
0.4486465,-0.8015200064498215
0.06036132,-2.807406776534331
0.1951595,-1.6339381060381923
0.1626664,-1.8160538011427056
0.07286097,-2.6192021742869356
0.185709,-1.683574346531321
0.652186,-0.42742548166534633
0.02876991,-3.5484252296821763
0.2870965,-1.247936882803688
0.09044848,-2.4029748721466024
0.07256933,-2.6232128981999168
0.1772155,-1.730388772853294
0.4155183,-0.8782286223352131
0.391156,-0.9386488215848264
0.09639398,-2.339311527448383
0.1265797,-2.066883129680447
0.1165903,-2.149089198920769
0.0597691,-2.8172664739806077
0.06461989,-2.739233020846596
0.3929231,-0.9341413605598439
0.009735789,-4.631946595676373
0.517098,-0.6595228673112855
0.05114098,-2.9731691462209695
0.7037601,-0.3513177479438324
0.08983453,-2.409785856425169
0.04625033,-3.073686679914023
0.1361884,-1.993716057763109
0.539801,-0.6165547258619717
0.07937423,-2.5335815226037357
0.6376431,-0.4499765565510735
0.5739411,-0.5552285011680875
0.5260187,-0.6424185155455624
0.4028135,-0.9092816033071038
0.3543002,-1.0376107026175028
0.05948048,-2.822107087483269
0.2855718,-1.2532617928875711
0.3222104,-1.1325505306720454
0.08586056,-2.455030693961476
0.004685657,-5.363249138331842
0.139544,-1.9693753152663034
0.1236105,-2.0906197861104068
0.245769,-1.4033632085996157
0.6942222,-0.3649631968090783
0.1399642,-1.9663686033590198
0.06654218,-2.7099192466802053
0.2692504,-1.3121134773385719
0.1289234,-2.0485368494381984
0.2242209,-1.4951235523498403
0.1338328,-2.0111640193274107
0.8800198,-0.12781087176300607
0.1662268,-1.7944021580562037
0.1236149,-2.0905841910623213
0.07023511,-2.655906950529778
0.1358353,-1.996312156546535
0.7067498,-0.34707856539397436
0.2886573,-1.242515107651212
0.2671098,-1.3200954691611617
0.5009296,-0.6912897067330624
0.1583381,-1.843022658805602
0.1125099,-2.1847140612094353
0.2625289,-1.3373941077723992
0.1125571,-2.1842946305448603
0.6170663,-0.4827788054201729
0.9099133,-0.09440595873544096
0.5032448,-0.6866785473521826
0.07935884,-2.533775433047832
0.1871783,-1.675693640461168
0.1297207,-2.042371601319528
0.2345585,-1.4500502552565493
0.4551717,-0.7870805685771967
0.3904345,-0.9404950574460383
0.5653771,-0.5702623368421446
0.2152386,-1.5360080987492897
0.1278204,-2.057129125364178
0.03436848,-3.370615413712821
0.4310752,-0.8414727261396613
0.9196749,-0.08373504095400562
0.1306819,-2.0349891530222415
0.2005314,-1.6067844360185377
0.04737486,-3.049663570729032
0.06898093,-2.673925189395581
0.2074737,-1.572750694332414
0.5741988,-0.554779601161516
0.06850453,-2.68085540451368
0.1373255,-1.985401258762448
0.8750666,-0.13345528123535358
0.09125765,-2.394068454417107
0.2889489,-1.241505423112601
0.196104,-1.629110148231621
0.05846723,-2.8392888526388553
0.0358868,-3.327385739124003
0.1308773,-2.033495035924845
0.7751685,-0.2546748539061139
0.05137579,-2.9685882291550114
0.1912342,-1.6542564240673325
0.8669547,-0.14276855270157693
0.09958261,-2.3067677280292327
0.2987744,-1.2080665054313595
0.1361224,-1.994200798003249
0.1175433,-2.140948502642994
0.1156966,-2.1567840315582862
0.3048518,-1.1879295221025257
0.09473879,-2.356631753364587
0.04931274,-3.0095728134677353
