Feature,Model,MAE,MSE,RMSE,R2
pumin1_4u_Qtransformed,DecisionTree,0.12130434782608694,0.029608695652173916,0.17207177471094415,-0.8391789861794441
pumin1_4u_Qtransformed,RandomForest,0.10994999999999999,0.023176445000000007,0.15223811940509516,-0.43963216478987377
pumin1_4u_Qtransformed,GradientBoosting,0.10525797760891441,0.022634047111650065,0.15044616017582524,-0.4059404814371126
pumin1_4u_Qtransformed,SVR,0.0912512892051377,0.016095865497812042,0.12686948213739993,0.00018636633954072224
pumin1_4u_Qtransformed,KNN,0.09617391304347826,0.019642956521739127,0.14015333218207524,-0.2201453682937422
pumin1_4u_Qtransformed,MLP,0.0904096742859324,0.016068072413799133,0.12675990065394946,0.0019127664713853854
pumin5_8d_Qtransformed,LinearRegression,0.08344988500811062,0.01601823866823339,0.1265631805393393,0.005008248242140079
pumin5_8d_Qtransformed,DecisionTree,0.10804347826086957,0.025202173913043472,0.1587519256986934,-0.5654627009382005
pumin5_8d_Qtransformed,RandomForest,0.10209565217391302,0.021533160434782605,0.14674181556319454,-0.33755760952526304
pumin5_8d_Qtransformed,GradientBoosting,0.0917804831258319,0.01839351676821913,0.1356227000476658,-0.142534947146991
pumin5_8d_Qtransformed,SVR,0.09375984409866606,0.016052105889855832,0.12669690560489563,0.0029045459021248554
pumin5_8d_Qtransformed,KNN,0.09804347826086957,0.01862808695652174,0.13648474990460194,-0.15710555053250808
pumin5_8d_Qtransformed,MLP,0.07817822249668621,0.01569461472827762,0.12527814944465623,0.02511053024683718
pumin5_8u_Qtransformed,LinearRegression,0.08484139389487076,0.016104304326331916,0.12690273569286012,-0.0003378214282707681
pumin5_8u_Qtransformed,DecisionTree,0.12130434782608698,0.03462608695652174,0.18608086133861734,-1.1508401535878257
pumin5_8u_Qtransformed,RandomForest,0.1079804347826087,0.02430516586956523,0.15590114133503075,-0.5097439903479217
pumin5_8u_Qtransformed,GradientBoosting,0.1015516971680184,0.0241484615634221,0.15539775276181475,-0.5000101178974778
pumin5_8u_Qtransformed,SVR,0.09486526961407706,0.016541629951823966,0.1286142680724964,-0.027502817481168895
pumin5_8u_Qtransformed,KNN,0.0981304347826087,0.01885434782608696,0.13731113511324186,-0.1711600108028135
pumin5_8u_Qtransformed,MLP,0.09610394518778909,0.02019611885395729,0.1421130495554764,-0.25450569774942244
seedEbest_1_Qtransformed,LinearRegression,0.08233693701756938,0.015648432905981773,0.12509369650778482,0.027979168504590368
seedEbest_1_Qtransformed,DecisionTree,0.08619565217391305,0.018408152173913044,0.13567664564659992,-0.14344404260066002
seedEbest_1_Qtransformed,RandomForest,0.08293083333333333,0.017223132595833336,0.13123693304795467,-0.06983515648765715
seedEbest_1_Qtransformed,GradientBoosting,0.079192898626019,0.015983697646352345,0.12642664927281885,0.007153804478425063
seedEbest_1_Qtransformed,SVR,0.09456692590501214,0.016365653604442067,0.12792831431877022,-0.016571839501879237
seedEbest_1_Qtransformed,KNN,0.08417391304347825,0.01721304347826087,0.13119848885662086,-0.06920845907260187
seedEbest_1_Qtransformed,MLP,0.08737417923475514,0.017215938735676117,0.13120952227516156,-0.06938830139528496
seedNumber_1_Ytransformed,LinearRegression,0.07741185233324,0.014259730701292508,0.11941411433031067,0.11424004074730376
seedNumber_1_Ytransformed,DecisionTree,0.08232254856734529,0.015245639555014795,0.12347323416439206,0.05299915167351721
seedNumber_1_Ytransformed,RandomForest,0.0814455931961953,0.015215697023865797,0.1233519234704745,0.05485906724457734
seedNumber_1_Ytransformed,GradientBoosting,0.08231203721079552,0.015243908074350778,0.1234662224025291,0.05310670463328426
seedNumber_1_Ytransformed,SVR,0.0902242310306536,0.01595339953597662,0.1263067675778959,0.0090358072717458
seedNumber_1_Ytransformed,KNN,0.08404347826086955,0.015312086956521743,0.12374201774870872,0.04887169310616091
seedNumber_1_Ytransformed,MLP,0.07784539438030422,0.018402634424314928,0.13565630993180866,-0.1431013010888058
seedNumber_3_Ytransformed,LinearRegression,0.08450060206440375,0.015848037822528038,0.12588899007668636,0.015580474135794775
seedNumber_3_Ytransformed,DecisionTree,0.0860141350251043,0.016059569575530685,0.12672635706722846,0.0024409302800827426
seedNumber_3_Ytransformed,RandomForest,0.08594299354625509,0.016069519712708404,0.12676560934539147,0.0018228657958566652
seedNumber_3_Ytransformed,GradientBoosting,0.08601437451980609,0.016059186278058822,0.12672484475452642,0.0024647392537703317
seedNumber_3_Ytransformed,SVR,0.0933426821957813,0.016371849734726673,0.12795252922364087,-0.016956719428673273
seedNumber_3_Ytransformed,KNN,0.08065217391304345,0.016948956521739132,0.13018815814711848,-0.05280438688162703
seedNumber_3_Ytransformed,MLP,0.08253031238256964,0.017012291129055133,0.13043117391580564,-0.05673849057339053
