Feature,Model,MAE,MSE,RMSE,R2
pumin5_8u_Qtransformed,KNN,0.09799999999999998,0.019787304347826086,0.14066735352535104,-0.3961485314909168
pumin5_8u_Qtransformed,MLP,0.07355292227198688,0.014183059094384824,0.11909264920382293,-0.0007253529129527259
seedEbest_1_Qtransformed,LinearRegression,0.07651554957327761,0.013825127334171123,0.11758030164177638,0.024529522264181813
seedEbest_1_Qtransformed,DecisionTree,0.10130434782608697,0.028413043478260867,0.16856169042300467,-1.0047616507055777
seedEbest_1_Qtransformed,RandomForest,0.09677158385093164,0.02376732439120328,0.1541665475750277,-0.6769699633134867
seedEbest_1_Qtransformed,GradientBoosting,0.09184959969475325,0.02099386813018329,0.1448926089563691,-0.48128100953223263
seedEbest_1_Qtransformed,SVR,0.08263957790407093,0.014461014334651634,0.12025395766731187,-0.020337261321353273
seedEbest_1_Qtransformed,KNN,0.09104347826086957,0.021092000000000003,0.1452308507170567,-0.48820497772561167
seedEbest_1_Qtransformed,MLP,0.07304152501490238,0.013364891372215519,0.11560662339250083,0.05700275616853723
seedNumber_1_Ytransformed,LinearRegression,0.07020900666882327,0.012285181561687415,0.11083853825131137,0.1331846978775787
seedNumber_1_Ytransformed,DecisionTree,0.07202171436496378,0.012691505850807257,0.11265658369934381,0.10451535264531187
seedNumber_1_Ytransformed,RandomForest,0.07103886997981178,0.012556290138662938,0.11205485325795995,0.11405587492294744
seedNumber_1_Ytransformed,GradientBoosting,0.07200229504053735,0.012689097841196163,0.11264589580271517,0.10468525648988047
seedNumber_1_Ytransformed,SVR,0.0860649465837986,0.01479347949007707,0.12162844852285615,-0.043795269060043385
seedNumber_1_Ytransformed,KNN,0.07086956521739132,0.012305217391304347,0.11092888438681942,0.13177101395150326
seedNumber_1_Ytransformed,MLP,0.07079015782227181,0.011669039106118669,0.10802332667585585,0.17665834994307683
seedNumber_3_Ytransformed,LinearRegression,0.07457446854730743,0.013573307460546734,0.11650453836888387,0.042297376873419834
seedNumber_3_Ytransformed,DecisionTree,0.08069856011265622,0.014429056715116595,0.12012100863344678,-0.018082402205654935
seedNumber_3_Ytransformed,RandomForest,0.08090376720991911,0.014409693043998239,0.12004038088909182,-0.016716144300032987
seedNumber_3_Ytransformed,GradientBoosting,0.08069456914466025,0.0144281873995395,0.12011739007961962,-0.018021065216794474
seedNumber_3_Ytransformed,SVR,0.08661102580183426,0.01491427636950724,0.12212402044441233,-0.05231843031842098
seedNumber_3_Ytransformed,KNN,0.08591304347826088,0.016384695652173913,0.12800271736246038,-0.15606797022967966
seedNumber_3_Ytransformed,MLP,0.06911602216606837,0.012606521296223692,0.11227876600775274,0.11051167528712191
